1,flat,16,cs:3_cs:0.5_pvc:0.8,6,40,6.02,0,./
2,flat,24,cs:3_cs:0.5_pvc:0.8,6,40,6.02,0,./
3,flat,24,cs:3_cs:0.5_pvc:0.8,6,40,6.02,0,./
4,flat,24,s316:2_s316:0.5_tef:0.5,6,40,6.1,0,./
5,flat,24,s316:2_s316:0.5_tef:0.5,6,40,5.98,0,./
6,flat,24,s316:2_s316:0.5_tef:0.5,6,40,6,0,./
7,flat,3,s316:0.2_s316:0.2_tef:0.1,2,22,1.73,0,./
8,flat,3,s316:0.2_s316:0.3_tef:0.1,2,22,1.83,0,./
9,flat,3,s316:0.2_s316:0.4_tef:0.1,2,22,1.95,0,./
10,flat,30,s316:0.6_s316:0.3_ptfe:0.6,0.3,120,0.321,0,./
11,flat,30,s316:0.6_s316:0.3_ptfe:0.6,0.3,120,0.265,0,./
12,flat,6,s316:0.6_s316:0.5_tef:0.6,5.5,20,4,0,./
13,flat,6,s316:0.6_s316:0.25_tef:0.6,5.5,20,3.79,0,./
14,flat,6,s316:0.6_s316:0.3_tef:0.6,5.5,20,5.85,0,./
15,flat,6,s316:0.6_s316:0.2_tef:0.6,5.5,20,5.81,0,./
16,flat,6,s316:0.6_s316:0.2_tef:0.6,5.5,20,5.6,0,./
17,flat,6,s316:0.6_s316:0.2_tef:0.6,5.5,20,5.92,0,./
18,flat,6,s316:0.6_s316:0.2_tef:0.6,5.5,20,5.94,0,./
19,flat,4,s316:0.1_s316:0.2_s316:0.1_ptfe:0.3,0.9,60,0.57,0,./
20,flat,4,s316:0.1_s316:0.25_s316:0.1_ptfe:0.3,0.9,60,1.03,0,./
21,flat,4,s316:1_s316:0.1_s316:0.1_ptfe:0.3,0.9,60,0.76,0,./
22,flat,24,s316:2.5_s316:0.8_ptfe:0.5,6,40,5.54,0,./
23,flat,24,s316:2.5_s316:0.8_ptfe:0.5,6,40,5.3,0,./
24,flat,24,s316:2.5_s316:0.8_ptfe:0.5,6,40,6.24,0,./
25,flat,24,s316:2.5_s316:0.8_ptfe:0.5,6,40,6.26,0,./
26,flat,12,s316:0.3_s316:0.3_fep:0.2,0.175,57,0.163,0,./
27,flat,12,s316:0.3_s316:0.3_fep:0.1,0.175,57,0.216,0,./
28,flat,12,s316:0.3_s316:0.3_fep:0.1,0.175,57,0.14,0,./
29,flat,12,s316:0.3_s316:0.3_fep:0.1,0.175,57,0.184,0,./
30,flat,16,s316:0.4_s316:0.4_ptfe:0.3,0.49,106,0.56,0,./
